cohort,set_a,set_b,n,jaccard_measured_clean_audit,shared,rho_clean_audit,n_a_declared,n_b_declared,n_shared_declared,jaccard_declared,n_shared_measured,jaccard_measured,n_shared_measured_clean,jaccard_measured_clean_upstream,rho_raw,n_obs_raw,rho_clean_upstream,n_obs_clean,rho_abs_error,jaccard_abs_error
TCGA-COADREAD,S_prolif,apoptosis,367,0.0183823529411764,5,0.0454737901072245,157,138,5,0.0172413793103448,5,0.0183150183150183,5,0.0183823529411764,0.0578069861973466,367,0.0454737901072245,367,0.0,7.28583859910259e-17
TCGA-COADREAD,S_prolif,necroptosis,367,0.0,0,-0.112009638746089,157,168,0,0.0,0,0.0,0,0.0,-0.0775459748573026,367,-0.112009638746089,367,5.551115123125783e-17,0.0
TCGA-COADREAD,S_prolif,parthanatos,367,0.0094786729857819,2,-0.0978447798703051,157,78,2,0.0085836909871244,2,0.0093896713615023,2,0.0094786729857819,-0.0978248731309514,367,-0.0978447798703051,367,8.326672684688674e-17,9.194034422677078e-17
TCGA-COADREAD,S_prolif,mitophagy,367,0.0084388185654008,2,-0.2443348332980515,157,104,2,0.0077220077220077,2,0.0084033613445378,2,0.0084388185654008,-0.2125998492914171,367,-0.2443348332980515,367,0.0,4.336808689942018e-17
TCGA-COADREAD,S_prolif,oxstress,367,0.0125523012552301,3,0.1032475174839435,157,132,3,0.0104895104895104,3,0.0124481327800829,3,0.0125523012552301,0.1165590569837696,367,0.1032475174839435,367,2.775557561562892e-17,2.6020852139652106e-17
TCGA-COADREAD,S_mito,ferroptosis,367,0.0623781676413255,128,-0.3020112118640283,1136,1679,138,0.0515502428091146,129,0.0627431906614786,128,0.0623781676413255,-0.2964521335169285,367,-0.3020112118640283,367,0.0,3.4694469519536136e-17
TCGA-COADREAD,S_mito,apoptosis,367,0.017094017094017,18,-0.2711324604147205,1136,138,20,0.0159489633173843,19,0.0180094786729857,18,0.017094017094017,-0.2554908613500459,367,-0.2711324604147205,367,0.0,9.714451465470121e-17
TCGA-COADREAD,S_mito,necroptosis,367,0.0142180094786729,15,-0.166155969788367,1136,168,17,0.0132090132090132,17,0.0160832544938505,15,0.0142180094786729,-0.1323188826589966,367,-0.166155969788367,367,8.326672684688674e-17,8.500145032286355e-17
TCGA-COADREAD,S_mito,parthanatos,367,0.0090180360721442,9,-0.3328030534024987,1136,78,10,0.0083056478405315,10,0.0099900099900099,9,0.0090180360721442,-0.3159405885791638,367,-0.3328030534024987,367,0.0,8.847089727481715e-17
TCGA-COADREAD,S_mito,mitophagy,367,0.0268389662027833,27,-0.1649690911456765,1136,104,31,0.0256410256410256,28,0.0277777777777777,27,0.0268389662027833,-0.1387642964375676,367,-0.1649690911456765,367,5.551115123125783e-17,0.0
TCGA-COADREAD,S_mito,oxstress,367,0.0206896551724137,21,0.0564572121631148,1136,132,22,0.0176565008025682,21,0.0206084396467124,21,0.0206896551724137,0.0640375528499653,367,0.0564572121631148,367,4.8572257327350605e-17,9.367506770274757e-17
TCGA-COADREAD,ferroptosis,apoptosis,367,0.0284644194756554,38,0.7624589484192108,1679,138,38,0.0213603147835862,38,0.0283793876026885,38,0.0284644194756554,0.7629357391032452,367,0.7624589484192108,367,0.0,2.775557561562892e-17
TCGA-COADREAD,ferroptosis,necroptosis,367,0.0401819560272934,53,0.5852377447315116,1679,168,54,0.030117122141662,54,0.0408163265306122,53,0.0401819560272934,0.5860160496872214,367,0.5852377447315116,367,0.0,0.0
TCGA-COADREAD,ferroptosis,parthanatos,367,0.0347826086956521,44,0.8189474772820406,1679,78,44,0.0256859311150029,44,0.0346456692913385,44,0.0347826086956521,0.8167116105814517,367,0.8189474772820406,367,0.0,7.63278329429795e-17
TCGA-COADREAD,ferroptosis,mitophagy,367,0.0292983808789514,38,0.4041614310323732,1679,104,40,0.0229489386115892,39,0.03,38,0.0292983808789514,0.4083469443640622,367,0.4041614310323732,367,5.551115123125783e-17,2.775557561562892e-17
TCGA-COADREAD,ferroptosis,oxstress,367,0.0308166409861325,40,0.5794378433912538,1679,132,42,0.0237422272470322,41,0.0314900153609831,40,0.0308166409861325,0.5611408795088765,367,0.5794378433912538,367,0.0,1.0408340855860844e-17
TCGA-COADREAD,apoptosis,necroptosis,367,0.1050420168067226,25,0.7623040642764338,138,168,26,0.0928571428571428,26,0.1083333333333333,25,0.1050420168067226,0.764292067795557,367,0.7623040642764338,367,0.0,9.714451465470121e-17
TCGA-COADREAD,apoptosis,parthanatos,367,0.0526315789473684,10,0.6535083928755236,138,78,11,0.0536585365853658,11,0.0572916666666666,10,0.0526315789473684,0.6564145340560613,367,0.6535083928755236,367,0.0,2.0816681711721685e-17
TCGA-COADREAD,apoptosis,mitophagy,367,0.0660377358490566,14,0.2443542545071771,138,104,14,0.0614035087719298,14,0.0654205607476635,14,0.0660377358490566,0.2550975818652518,367,0.2443542545071771,367,2.775557561562892e-17,0.0
TCGA-COADREAD,apoptosis,oxstress,367,0.0269058295964125,6,0.377717998217133,138,132,6,0.0227272727272727,6,0.0265486725663716,6,0.0269058295964125,0.3589859992503413,367,0.377717998217133,367,5.551115123125783e-17,5.898059818321144e-17
TCGA-COADREAD,necroptosis,parthanatos,367,0.0529100529100529,10,0.5407991050706835,168,78,11,0.0468085106382978,11,0.0572916666666666,10,0.0529100529100529,0.5411115437724923,367,0.5407991050706835,367,0.0,6.938893903907228e-18
TCGA-COADREAD,necroptosis,mitophagy,367,0.0227272727272727,5,0.3608594176356232,168,104,6,0.0225563909774436,6,0.027027027027027,5,0.0227272727272727,0.3587692100034764,367,0.3608594176356232,367,0.0,2.775557561562892e-17
TCGA-COADREAD,necroptosis,oxstress,367,0.0133333333333333,3,0.3634443805702456,168,132,3,0.0101010101010101,3,0.0131004366812227,3,0.0133333333333333,0.3551607493479329,367,0.3634443805702456,367,0.0,3.4694469519536136e-17
TCGA-COADREAD,parthanatos,mitophagy,367,0.0384615384615384,6,0.4633715995890472,78,104,6,0.034090909090909,6,0.0377358490566037,6,0.0384615384615384,0.4686119273413724,367,0.4633715995890472,367,0.0,6.245004513516506e-17
TCGA-COADREAD,parthanatos,oxstress,367,0.0714285714285714,11,0.6102949887454093,78,132,11,0.0552763819095477,11,0.0696202531645569,11,0.0714285714285714,0.589252594188009,367,0.6102949887454093,367,0.0,2.775557561562892e-17
TCGA-COADREAD,mitophagy,oxstress,367,0.0324324324324324,6,0.4913781969737872,104,132,7,0.0305676855895196,6,0.0319148936170212,6,0.0324324324324324,0.5003070978692992,367,0.4913781969737872,367,0.0,3.4694469519536136e-17
GSE39582,S_nrf2,S_prolif,566,0.0,0,0.5859988143674312,14,157,0,0.0,0,0.0,0,0.0,0.5859988143674312,566,0.5859988143674312,566,0.0,0.0
GSE39582,S_nrf2,S_mito,566,0.0018957345971563,2,0.590023214639369,14,1136,2,0.0017421602787456,2,0.0018921475875118,2,0.0018957345971563,0.5908963405382931,566,0.590023214639369,566,0.0,9.82287168271867e-17
GSE39582,S_nrf2,ferroptosis,566,0.00740192450037,10,0.5603540087732839,14,1679,10,0.005941770647653,10,0.0073855243722304,10,0.00740192450037,0.5626099866132388,566,0.5603540087732839,566,0.0,9.627715291671279e-17
GSE39582,S_nrf2,apoptosis,566,0.0,0,0.4444408375800852,14,138,0,0.0,0,0.0,0,0.0,0.4558697663860427,566,0.4444408375800852,566,5.551115123125783e-17,0.0
GSE39582,S_nrf2,necroptosis,566,0.0,0,0.3121956522062842,14,168,0,0.0,0,0.0,0,0.0,0.3441246744101742,566,0.3121956522062842,566,5.551115123125783e-17,0.0
GSE39582,S_nrf2,parthanatos,566,0.0123456790123456,1,0.4259017533166193,14,78,1,0.0109890109890109,1,0.0120481927710843,1,0.0123456790123456,0.4415037910957108,566,0.4259017533166193,566,0.0,7.806255641895632e-17
GSE39582,S_nrf2,mitophagy,566,0.0,0,0.4299980923327494,14,104,0,0.0,0,0.0,0,0.0,0.4519800444438488,566,0.4299980923327494,566,5.551115123125783e-17,0.0
GSE39582,S_nrf2,oxstress,566,0.0377358490566037,4,0.5718857828492276,14,132,4,0.028169014084507,4,0.037037037037037,4,0.0377358490566037,0.573572273206408,566,0.5718857828492276,566,0.0,6.938893903907227e-17
GSE39582,S_prolif,S_mito,566,0.0,0,0.6976177653622226,157,1136,0,0.0,0,0.0,0,0.0,0.698324181328653,566,0.6976177653622226,566,0.0,0.0
GSE39582,S_prolif,ferroptosis,566,0.0189830508474576,28,0.5370674306601009,157,1679,28,0.0154867256637168,28,0.0189445196211096,28,0.0189830508474576,0.5428153164667752,566,0.5370674306601009,566,0.0,2.775557561562892e-17
GSE39582,S_prolif,apoptosis,566,0.0175438596491228,5,0.3222493398859139,157,138,5,0.0172413793103448,5,0.0174825174825174,5,0.0175438596491228,0.3376439002381027,566,0.3222493398859139,566,0.0,6.938893903907228e-18
GSE39582,S_prolif,necroptosis,566,0.0,0,0.0656062485450521,157,168,0,0.0,0,0.0,0,0.0,0.1040274280525695,566,0.0656062485450521,566,2.775557561562892e-17,0.0
GSE39582,S_prolif,parthanatos,566,0.009009009009009,2,0.352370098697376,157,78,2,0.0085836909871244,2,0.0089285714285714,2,0.009009009009009,0.3645491891090565,566,0.352370098697376,566,0.0,8.673617379884035e-18
GSE39582,S_prolif,mitophagy,566,0.0079681274900398,2,0.4696509663831968,157,104,2,0.0077220077220077,2,0.0079365079365079,2,0.0079681274900398,0.4911437747423863,566,0.4696509663831968,566,5.551115123125783e-17,3.9898639947466563e-17
GSE39582,S_prolif,oxstress,566,0.0120481927710843,3,0.5158051968959126,157,132,3,0.0104895104895104,3,0.0119521912350597,3,0.0120481927710843,0.5371231550599261,566,0.5158051968959126,566,0.0,3.816391647148976e-17
GSE39582,S_mito,ferroptosis,566,0.0579902611775121,131,0.5696032002483111,1136,1679,138,0.0515502428091146,132,0.0583296509058771,131,0.0579902611775121,0.5747495669694613,566,0.5696032002483111,566,0.0,7.63278329429795e-17
GSE39582,S_mito,apoptosis,566,0.0155306298533218,18,0.3254051145667518,1136,138,20,0.0159489633173843,19,0.016365202411714,18,0.0155306298533218,0.3415693599189018,566,0.3254051145667518,566,5.551115123125783e-17,2.949029909160572e-17
GSE39582,S_mito,necroptosis,566,0.0129310344827586,15,0.2235492504919316,1136,168,17,0.0132090132090132,17,0.0146299483648881,15,0.0129310344827586,0.2610204017815262,566,0.2235492504919316,566,0.0,2.0816681711721685e-17
GSE39582,S_mito,parthanatos,566,0.0081669691470054,9,0.3667874966227009,1136,78,10,0.0083056478405315,10,0.0090497737556561,9,0.0081669691470054,0.3790158256964598,566,0.3667874966227009,566,5.551115123125783e-17,4.336808689942018e-17
GSE39582,S_mito,mitophagy,566,0.0242587601078167,27,0.4679822125333242,1136,104,31,0.0256410256410256,28,0.0251121076233183,27,0.0242587601078167,0.4911036028769541,566,0.4679822125333242,566,0.0,1.0408340855860844e-17
GSE39582,S_mito,oxstress,566,0.0187835420393559,21,0.5472529508865855,1136,132,22,0.0176565008025682,21,0.0187165775401069,21,0.0187835420393559,0.5650813835997862,566,0.5472529508865855,566,0.0,9.367506770274757e-17
GSE39582,ferroptosis,apoptosis,566,0.0263340263340263,38,0.782151613716078,1679,138,38,0.0213603147835862,38,0.0262612301313061,38,0.0263340263340263,0.7878417235120073,566,0.782151613716078,566,0.0,3.4694469519536136e-17
GSE39582,ferroptosis,necroptosis,566,0.0371669004207573,53,0.4946516323294834,1679,168,54,0.030117122141662,54,0.0377622377622377,53,0.0371669004207573,0.5204413081269769,566,0.4946516323294834,566,0.0,6.245004513516506e-17
GSE39582,ferroptosis,parthanatos,566,0.0313411078717201,43,0.7553626710385835,1679,78,44,0.0256859311150029,43,0.0312273057371096,43,0.0313411078717201,0.7546547329092124,566,0.7553626710385835,566,0.0,2.0816681711721685e-17
GSE39582,ferroptosis,mitophagy,566,0.027027027027027,38,0.6079413887850674,1679,104,40,0.0229489386115892,39,0.027679205110007,38,0.027027027027027,0.6319398758874665,566,0.6079413887850674,566,0.0,2.775557561562892e-17
GSE39582,ferroptosis,oxstress,566,0.0285103349964362,40,0.7643033928846493,1679,132,42,0.0237422272470322,41,0.029140014214641,40,0.0285103349964362,0.7589065972692728,566,0.7643033928846493,566,0.0,1.0408340855860844e-17
GSE39582,apoptosis,necroptosis,566,0.1037344398340249,25,0.7109216680060045,138,168,26,0.0928571428571428,26,0.1069958847736625,25,0.1037344398340249,0.723060123285271,566,0.7109216680060045,566,0.0,0.0
GSE39582,apoptosis,parthanatos,566,0.0520833333333333,10,0.6937608030137502,138,78,11,0.0536585365853658,11,0.056701030927835,10,0.0520833333333333,0.7001465412735308,566,0.6937608030137502,566,0.0,3.4694469519536136e-17
GSE39582,apoptosis,mitophagy,566,0.064516129032258,14,0.4889287629398327,138,104,14,0.0614035087719298,14,0.0639269406392694,14,0.064516129032258,0.5082695638060096,566,0.4889287629398327,566,5.551115123125783e-17,6.938893903907227e-17
GSE39582,apoptosis,oxstress,566,0.0267857142857142,6,0.5994569187351951,138,132,6,0.0227272727272727,6,0.026431718061674,6,0.0267857142857142,0.5979361455955471,566,0.5994569187351951,566,0.0,8.326672684688674e-17
GSE39582,necroptosis,parthanatos,566,0.0526315789473684,10,0.4816768477858568,168,78,11,0.0468085106382978,11,0.0569948186528497,10,0.0526315789473684,0.5019121510131236,566,0.4816768477858568,566,0.0,2.0816681711721685e-17
GSE39582,necroptosis,mitophagy,566,0.0223214285714285,5,0.3558130327260069,168,104,6,0.0225563909774436,6,0.0265486725663716,5,0.0223214285714285,0.3772035252631894,566,0.3558130327260069,566,0.0,7.28583859910259e-17
GSE39582,necroptosis,oxstress,566,0.0133333333333333,3,0.3745599253213625,168,132,3,0.0101010101010101,3,0.0131004366812227,3,0.0133333333333333,0.3904335037328565,566,0.3745599253213625,566,5.551115123125783e-17,3.4694469519536136e-17
