cohort,score,model,n,events,HR,lo95,hi95,p,n_params,EPV,covariates_used,dropped_constant,n_analysis_subset,note
TCGA-COADREAD,OX4,M1+chemo,309,62,1.0301997482826233,0.7928873416716951,1.3385401249109987,0.8237529229618478,8,7.75,age;male;stg_II;stg_III;stg_IV;stg_Unknown;chemo,,367,M1 + chemo
TCGA-COADREAD,OX4,M1(cc:mmr),232,35,1.0370824402906902,0.7075378387402119,1.520116563482057,0.851945976809065,7,5.0,age;male;stg_II;stg_III;stg_IV;stg_Unknown,,367,M1 限定于 mmr 的同批完整病例
TCGA-COADREAD,OX4,M1+mmr,232,35,1.0333675192913363,0.7050715374631868,1.5145249427716188,0.866359268661931,8,4.375,age;male;stg_II;stg_III;stg_IV;stg_Unknown;mmr,,367,M1 + mmr
TCGA-COADREAD,OX4,M1(cc:side),365,85,0.9321736683999975,0.7477651637229781,1.1620596815877138,0.5322942847731935,7,12.142857142857142,age;male;stg_II;stg_III;stg_IV;stg_Unknown,,367,M1 限定于 side 的同批完整病例
TCGA-COADREAD,OX4,M1+side,365,85,0.9177609497690775,0.7342856010888231,1.147081135285876,0.45076981079375256,8,10.625,age;male;stg_II;stg_III;stg_IV;stg_Unknown;site_rectum,,367,M1 + side
TCGA-COADREAD,OX4,M1(cc:chemo+mmr+side),216,33,0.9967499666480253,0.6754869440236198,1.4708063639170788,0.986916022748452,7,4.714285714285714,age;male;stg_II;stg_III;stg_IV;stg_Unknown,,367,M1 限定于 chemo+mmr+side 的同批完整病例
TCGA-COADREAD,OX4,M1+chemo+mmr+side,216,33,0.9797578337899423,0.6600948695527004,1.454223411133666,0.9191608082207074,10,3.3,age;male;stg_II;stg_III;stg_IV;stg_Unknown;chemo;mmr;site_rectum,,367,M1 + chemo+mmr+side
TCGA-COADREAD,OX5,M1,367,85,0.9261961876465455,0.743008597064731,1.1545483879996883,0.4953228479834215,7,12.142857142857142,age;male;stg_II;stg_III;stg_IV;stg_Unknown,,367,主模型（本文口径）
TCGA-COADREAD,OX5,M1(cc:chemo),309,62,0.9203729355529003,0.7145198950403737,1.1855321963433907,0.5206252513102412,7,8.857142857142858,age;male;stg_II;stg_III;stg_IV;stg_Unknown,,367,M1 限定于 chemo 的同批完整病例
TCGA-COADREAD,OX5,M1+chemo,309,62,0.9438261320450116,0.7329265480440263,1.2154120626526106,0.6541121393062564,8,7.75,age;male;stg_II;stg_III;stg_IV;stg_Unknown;chemo,,367,M1 + chemo
TCGA-COADREAD,OX5,M1(cc:mmr),232,35,0.9426291205621482,0.658040159767924,1.3502970080809968,0.7473045532683356,7,5.0,age;male;stg_II;stg_III;stg_IV;stg_Unknown,,367,M1 限定于 mmr 的同批完整病例
TCGA-COADREAD,OX5,M1+mmr,232,35,0.9361100559399467,0.650012631015263,1.3481307824175397,0.7227579315076472,8,4.375,age;male;stg_II;stg_III;stg_IV;stg_Unknown;mmr,,367,M1 + mmr
TCGA-COADREAD,OX5,M1(cc:side),365,85,0.9115064625680267,0.7303376744722374,1.1376162840068038,0.41247752560653894,7,12.142857142857142,age;male;stg_II;stg_III;stg_IV;stg_Unknown,,367,M1 限定于 side 的同批完整病例
TCGA-COADREAD,OX5,M1+side,365,85,0.9081203022718922,0.7281600791728922,1.1325565723613127,0.39238474943724266,8,10.625,age;male;stg_II;stg_III;stg_IV;stg_Unknown;site_rectum,,367,M1 + side
TCGA-COADREAD,OX5,M1(cc:chemo+mmr+side),216,33,0.9215880389185135,0.6357963900202935,1.335843560625694,0.6663725500895635,7,4.714285714285714,age;male;stg_II;stg_III;stg_IV;stg_Unknown,,367,M1 限定于 chemo+mmr+side 的同批完整病例
TCGA-COADREAD,OX5,M1+chemo+mmr+side,216,33,0.8926365995668465,0.6249257553770513,1.2750316210051391,0.5324080759776967,10,3.3,age;male;stg_II;stg_III;stg_IV;stg_Unknown;chemo;mmr;site_rectum,,367,M1 + chemo+mmr+side
TCGA-COADREAD,OX5_noNRF2,M1,367,85,0.9508748489965523,0.762522359708342,1.1857527414672144,0.6547004310519275,7,12.142857142857142,age;male;stg_II;stg_III;stg_IV;stg_Unknown,,367,主模型（本文口径）
