cohort,set,gene,measured,clean_member,exclusion_set
TCGA-COADREAD,S_prolif,PLK1,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,PPP2CA,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,PPP2CB,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,PPP2R1A,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,PPP2R1B,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,PPP2R5A,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,PPP2R5B,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,PPP2R5C,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,PPP2R5D,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,PPP2R5E,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,PRKDC,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,PTTG1,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,PTTG2,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,RAD21,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,RB1,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,RBL1,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,RBL2,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,RBX1,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,SFN,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,SGO1,False,False,OX6_fixed
TCGA-COADREAD,S_prolif,SKP1,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,SKP2,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,SMAD2,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,SMAD3,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,SMAD4,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,SMC1A,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,SMC1B,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,SMC3,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,STAG1,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,STAG2,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,TFDP1,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,TFDP2,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,TGFB1,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,TGFB2,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,TGFB3,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,TICRR,False,False,OX6_fixed
TCGA-COADREAD,S_prolif,TP53,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,TRIP13,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,TTK,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,WAPL,False,False,OX6_fixed
TCGA-COADREAD,S_prolif,WEE1,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,WEE2,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,YWHAB,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,YWHAE,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,YWHAG,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,YWHAH,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,YWHAQ,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,YWHAZ,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,ZBTB17,True,True,OX6_fixed
TCGA-COADREAD,S_mito,AADAT,True,True,OX6_fixed
TCGA-COADREAD,S_mito,AARS2,True,True,OX6_fixed
TCGA-COADREAD,S_mito,AASS,True,True,OX6_fixed
TCGA-COADREAD,S_mito,ABAT,True,True,OX6_fixed
TCGA-COADREAD,S_mito,ABCA9,True,True,OX6_fixed
TCGA-COADREAD,S_mito,ABCB10,True,True,OX6_fixed
TCGA-COADREAD,S_mito,ABCB6,True,True,OX6_fixed
TCGA-COADREAD,S_mito,ABCB7,True,True,OX6_fixed
TCGA-COADREAD,S_mito,ABCB8,True,True,OX6_fixed
TCGA-COADREAD,S_mito,ABCD1,True,True,OX6_fixed
TCGA-COADREAD,S_mito,ABCD2,True,True,OX6_fixed
TCGA-COADREAD,S_mito,ABCD3,True,True,OX6_fixed
TCGA-COADREAD,S_mito,ABHD10,True,True,OX6_fixed
TCGA-COADREAD,S_mito,ABHD11,True,True,OX6_fixed
TCGA-COADREAD,S_mito,ACAA1,True,True,OX6_fixed
TCGA-COADREAD,S_mito,ACAA2,True,True,OX6_fixed
TCGA-COADREAD,S_mito,ACACA,True,True,OX6_fixed
TCGA-COADREAD,S_mito,ACACB,True,True,OX6_fixed
TCGA-COADREAD,S_mito,ACAD10,True,True,OX6_fixed
TCGA-COADREAD,S_mito,ACAD11,True,True,OX6_fixed
TCGA-COADREAD,S_mito,ACAD8,True,True,OX6_fixed
TCGA-COADREAD,S_mito,ACAD9,True,True,OX6_fixed
TCGA-COADREAD,S_mito,ACADL,True,True,OX6_fixed
TCGA-COADREAD,S_mito,ACADM,True,True,OX6_fixed
TCGA-COADREAD,S_mito,ACADS,True,True,OX6_fixed
TCGA-COADREAD,S_mito,ACADSB,True,True,OX6_fixed
TCGA-COADREAD,S_mito,ACADVL,True,True,OX6_fixed
TCGA-COADREAD,S_mito,ACAT1,True,True,OX6_fixed
TCGA-COADREAD,S_mito,ACCS,True,True,OX6_fixed
TCGA-COADREAD,S_mito,ACLY,True,True,OX6_fixed
TCGA-COADREAD,S_mito,ACO2,True,True,OX6_fixed
TCGA-COADREAD,S_mito,ACOD1,False,False,OX6_fixed
TCGA-COADREAD,S_mito,ACOT11,True,True,OX6_fixed
TCGA-COADREAD,S_mito,ACOT13,True,True,OX6_fixed
TCGA-COADREAD,S_mito,ACOT2,True,True,OX6_fixed
TCGA-COADREAD,S_mito,ACOT7,True,True,OX6_fixed
TCGA-COADREAD,S_mito,ACOT9,True,True,OX6_fixed
TCGA-COADREAD,S_mito,ACP6,True,True,OX6_fixed
TCGA-COADREAD,S_mito,ACSF2,True,True,OX6_fixed
TCGA-COADREAD,S_mito,ACSF3,True,True,OX6_fixed
TCGA-COADREAD,S_mito,ACSL1,True,True,OX6_fixed
TCGA-COADREAD,S_mito,ACSL6,True,True,OX6_fixed
TCGA-COADREAD,S_mito,ACSM1,True,True,OX6_fixed
TCGA-COADREAD,S_mito,ACSM2A,True,True,OX6_fixed
TCGA-COADREAD,S_mito,ACSM2B,True,True,OX6_fixed
TCGA-COADREAD,S_mito,ACSM3,True,True,OX6_fixed
TCGA-COADREAD,S_mito,ACSM4,True,True,OX6_fixed
TCGA-COADREAD,S_mito,ACSM5,True,True,OX6_fixed
TCGA-COADREAD,S_mito,ACSS1,True,True,OX6_fixed
TCGA-COADREAD,S_mito,ACSS3,True,True,OX6_fixed
TCGA-COADREAD,S_mito,ADCK1,True,True,OX6_fixed
TCGA-COADREAD,S_mito,ADCK2,True,True,OX6_fixed
TCGA-COADREAD,S_mito,ADCK5,True,True,OX6_fixed
TCGA-COADREAD,S_mito,ADCY10,True,True,OX6_fixed
TCGA-COADREAD,S_mito,ADHFE1,True,True,OX6_fixed
TCGA-COADREAD,S_mito,AFG1L,False,False,OX6_fixed
TCGA-COADREAD,S_mito,AFG3L2,True,True,OX6_fixed
TCGA-COADREAD,S_mito,AGK,True,True,OX6_fixed
TCGA-COADREAD,S_mito,AGMAT,True,True,OX6_fixed
TCGA-COADREAD,S_mito,AGPAT4,True,True,OX6_fixed
TCGA-COADREAD,S_mito,AGPAT5,True,True,OX6_fixed
TCGA-COADREAD,S_mito,AGXT,True,True,OX6_fixed
TCGA-COADREAD,S_mito,AGXT2,True,True,OX6_fixed
TCGA-COADREAD,S_mito,AHCYL1,True,True,OX6_fixed
TCGA-COADREAD,S_mito,AIFM1,True,False,OX6_fixed
TCGA-COADREAD,S_mito,AIFM2,True,True,OX6_fixed
TCGA-COADREAD,S_mito,AIFM3,True,True,OX6_fixed
TCGA-COADREAD,S_mito,AK2,True,True,OX6_fixed
TCGA-COADREAD,S_mito,AK3,True,True,OX6_fixed
TCGA-COADREAD,S_mito,AK4,False,False,OX6_fixed
TCGA-COADREAD,S_mito,AKAP1,True,True,OX6_fixed
TCGA-COADREAD,S_mito,AKAP10,True,True,OX6_fixed
TCGA-COADREAD,S_mito,AKR1B10,True,True,OX6_fixed
TCGA-COADREAD,S_mito,AKR7A2,True,True,OX6_fixed
TCGA-COADREAD,S_mito,ALAS1,True,True,OX6_fixed
TCGA-COADREAD,S_mito,ALAS2,True,True,OX6_fixed
TCGA-COADREAD,S_mito,ALDH18A1,True,True,OX6_fixed
TCGA-COADREAD,S_mito,ALDH1B1,True,True,OX6_fixed
TCGA-COADREAD,S_mito,ALDH1L1,True,True,OX6_fixed
TCGA-COADREAD,S_mito,ALDH1L2,True,True,OX6_fixed
TCGA-COADREAD,S_mito,ALDH2,True,True,OX6_fixed
TCGA-COADREAD,S_mito,ALDH3A2,True,True,OX6_fixed
TCGA-COADREAD,S_mito,ALDH4A1,True,True,OX6_fixed
TCGA-COADREAD,S_mito,ALDH5A1,True,True,OX6_fixed
TCGA-COADREAD,S_mito,ALDH6A1,True,True,OX6_fixed
TCGA-COADREAD,S_mito,ALDH7A1,True,True,OX6_fixed
TCGA-COADREAD,S_mito,ALDH9A1,True,True,OX6_fixed
TCGA-COADREAD,S_mito,ALKBH1,True,True,OX6_fixed
TCGA-COADREAD,S_mito,ALKBH7,True,True,OX6_fixed
TCGA-COADREAD,S_mito,AMACR,True,True,OX6_fixed
TCGA-COADREAD,S_mito,AMT,True,True,OX6_fixed
TCGA-COADREAD,S_mito,ANGEL2,True,True,OX6_fixed
TCGA-COADREAD,S_mito,ANTKMT,False,False,OX6_fixed
TCGA-COADREAD,S_mito,APEX1,True,True,OX6_fixed
TCGA-COADREAD,S_mito,APOO,True,True,OX6_fixed
TCGA-COADREAD,S_mito,APOOL,True,True,OX6_fixed
TCGA-COADREAD,S_mito,ARF5,True,True,OX6_fixed
TCGA-COADREAD,S_mito,ARG2,True,True,OX6_fixed
TCGA-COADREAD,S_mito,ARL2,True,True,OX6_fixed
TCGA-COADREAD,S_mito,ARMC10,True,True,OX6_fixed
TCGA-COADREAD,S_mito,ARMCX1,True,True,OX6_fixed
TCGA-COADREAD,S_mito,ARMCX2,True,True,OX6_fixed
TCGA-COADREAD,S_mito,ARMCX3,True,True,OX6_fixed
TCGA-COADREAD,S_mito,ARMCX6,True,True,OX6_fixed
TCGA-COADREAD,S_mito,ATAD1,True,True,OX6_fixed
TCGA-COADREAD,S_mito,ATAD3A,True,True,OX6_fixed
TCGA-COADREAD,S_mito,ATAD3B,True,True,OX6_fixed
TCGA-COADREAD,S_mito,ATP23,False,False,OX6_fixed
TCGA-COADREAD,S_mito,ATP5F1A,False,False,OX6_fixed
TCGA-COADREAD,S_mito,ATP5F1B,False,False,OX6_fixed
TCGA-COADREAD,S_mito,ATP5F1C,False,False,OX6_fixed
TCGA-COADREAD,S_mito,ATP5F1D,False,False,OX6_fixed
TCGA-COADREAD,S_mito,ATP5F1E,False,False,OX6_fixed
TCGA-COADREAD,S_mito,ATP5IF1,False,False,OX6_fixed
TCGA-COADREAD,S_mito,ATP5MC1,False,False,OX6_fixed
TCGA-COADREAD,S_mito,ATP5MC2,False,False,OX6_fixed
TCGA-COADREAD,S_mito,ATP5MC3,False,False,OX6_fixed
TCGA-COADREAD,S_mito,ATP5MD,False,False,OX6_fixed
TCGA-COADREAD,S_mito,ATP5ME,False,False,OX6_fixed
TCGA-COADREAD,S_mito,ATP5MF,False,False,OX6_fixed
TCGA-COADREAD,S_mito,ATP5MF-PTCD1,False,False,OX6_fixed
