"cohort","variant","model","n","events","n_coefficients","score_SD_in_fit","beta","se","HR","lo","hi","p","HR_per_fitSD","lo_per_fitSD","hi_per_fitSD","concordance"
"GSE39582","positive_time","M2",555,187,15,1.00459227220457,0.0910463613132682,0.102780577112335,1.09531978454502,0.895472676611424,1.33976776930331,0.375707868649433,1.09577784409638,0.895018784130775,1.34156858481873,0.716527439378118
"GSE17538","as_submitted","M0",232,93,1,1,0.0705584993604735,0.106552670118255,1.07310734368789,0.870850695576943,1.32233846390164,0.507847136396198,1.07310734368789,0.870850695576943,1.32233846390164,0.520117762512267
"GSE17538","as_submitted","M1",232,93,6,1,0.161162975210812,0.116355189569383,1.17487642894551,0.935295088936337,1.47582793881825,0.166023462863148,1.17487642894551,0.935295088936337,1.47582793881825,0.763101079489696
"GSE17538","as_submitted","M2",232,93,14,1,-0.155334254225307,0.269523643238256,0.856128964928465,0.504796149795463,1.45198572708304,0.564392918892368,0.856128964928465,0.504796149795463,1.45198572708304,0.786326463853451
"GSE17538","complete_stage","M0",232,93,1,1,0.0705584993604735,0.106552670118255,1.07310734368789,0.870850695576943,1.32233846390164,0.507847136396198,1.07310734368789,0.870850695576943,1.32233846390164,0.520117762512267
"GSE17538","complete_stage","M1",232,93,6,1,0.161162975210812,0.116355189569383,1.17487642894551,0.935295088936337,1.47582793881825,0.166023462863148,1.17487642894551,0.935295088936337,1.47582793881825,0.763101079489696
"GSE17538","complete_stage","M2",232,93,14,1,-0.155334254225307,0.269523643238256,0.856128964928465,0.504796149795463,1.45198572708304,0.564392918892368,0.856128964928465,0.504796149795463,1.45198572708304,0.786326463853451
"GSE17538","positive_time","M0",232,93,1,1,0.0705584993604735,0.106552670118255,1.07310734368789,0.870850695576943,1.32233846390164,0.507847136396198,1.07310734368789,0.870850695576943,1.32233846390164,0.520117762512267
"GSE17538","positive_time","M1",232,93,6,1,0.161162975210812,0.116355189569383,1.17487642894551,0.935295088936337,1.47582793881825,0.166023462863148,1.17487642894551,0.935295088936337,1.47582793881825,0.763101079489696
"GSE17538","positive_time","M2",232,93,14,1,-0.155334254225307,0.269523643238256,0.856128964928465,0.504796149795463,1.45198572708304,0.564392918892368,0.856128964928465,0.504796149795463,1.45198572708304,0.786326463853451
