HR,lo95,hi95,p,n,events,parameters,iter,score_residual_norm,warning,ph_global,cohort,score,endpoint,variant,model,events_per_parameter
1.17487642894551,0.935299008378745,1.4758217542478,0.166023462863148,232,93,6,5,1.5912772970906702e-09,,0.328260737687248,GSE17538,OX4,OS,frozen,M1,15.5
0.856128964928465,0.504801049884547,1.45197163269989,0.564392918892368,232,93,14,5,2.4216209202335703e-09,,0.696370083582004,GSE17538,OX4,OS,frozen,M2,6.642857142857143
0.983060326428075,0.802221340506305,1.2046645440608,0.869163149760459,232,93,1,3,4.413136522885e-14,,,GSE17538,OX5,OS,frozen,M0,93.0
1.00567988801698,0.819532210456559,1.23410895173774,0.956748840939774,232,93,6,5,1.5455449112346702e-09,,,GSE17538,OX5,OS,frozen,M1,15.5
0.66139134906246,0.467500255635152,0.935696850091239,0.0195209451988855,232,93,14,5,1.18890676687849e-09,,,GSE17538,OX5,OS,frozen,M2,6.642857142857143
1.01658236606276,0.828443228521451,1.24744782914596,0.874845378423055,232,93,1,3,8.38218383591993e-15,,,GSE17538,OX5_noNRF2,OS,frozen,M0,93.0
1.02732123451959,0.838412053035787,1.25879502217726,0.794870921171516,232,93,6,5,1.6162660291669e-09,,,GSE17538,OX5_noNRF2,OS,frozen,M1,15.5
0.69641850639253,0.505218937818904,0.959977347919309,0.0271474424944113,232,93,14,5,7.23906015827367e-10,,,GSE17538,OX5_noNRF2,OS,frozen,M2,6.642857142857143
1.08114330193685,0.87629805933665,1.33387359114744,0.466657166018968,232,93,1,3,1.23088556187867e-09,,,GSE17538,OX6,OS,frozen,M0,93.0
1.16567020367558,0.927339469908909,1.46525308997205,0.188991197105404,232,93,6,5,1.5283043048308902e-09,,,GSE17538,OX6,OS,frozen,M1,15.5
0.841759583282773,0.441211196997184,1.60594110229009,0.601208779681128,232,93,14,5,1.16253783185027e-08,,,GSE17538,OX6,OS,frozen,M2,6.642857142857143
