file,sheet,row,values
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,1,Oxeiptosis-related genes | lncRNA | Correlation | P-value | Regulation
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,117,KEAP1 | AC079921.1 | -0.255160011776732 | 5.50587293544502e-07 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,121,KEAP1 | AP002784.1 | 0.338905307198931 | 1.567583784287e-11 | postive
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,124,KEAP1 | C1orf195 | -0.260462373980379 | 3.12818118166213e-07 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,125,KEAP1 | AC090617.4 | -0.220157734707599 | 1.69262837454267e-05 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,127,KEAP1 | Z93930.3 | -0.201194523567966 | 8.73444998373168e-05 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,131,KEAP1 | LAMC1-AS1 | -0.331919874834999 | 4.28107178101224e-11 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,132,KEAP1 | AL021707.7 | -0.306079000552914 | 1.41912538461351e-09 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,133,KEAP1 | AC007849.1 | -0.231376983365848 | 5.97655045773373e-06 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,134,KEAP1 | AC005695.2 | -0.245295053585377 | 1.52515582073799e-06 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,137,KEAP1 | AC023644.1 | -0.204511905023963 | 6.62466101692744e-05 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,140,KEAP1 | AC068620.2 | -0.361703222606686 | 4.93361210873718e-13 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,141,KEAP1 | AC068790.7 | -0.271548498634409 | 9.21000135565353e-08 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,143,KEAP1 | AC245100.7 | -0.210225576401051 | 4.07200718396875e-05 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,145,KEAP1 | AL513218.1 | -0.260587048633099 | 3.08640752913671e-07 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,147,KEAP1 | AC008870.2 | -0.305101948932032 | 1.60948842959804e-09 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,148,KEAP1 | AC004923.4 | -0.219780267530446 | 1.75135735366981e-05 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,149,KEAP1 | AC002553.1 | -0.378602000417773 | 3.16066073983986e-14 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,151,KEAP1 | AP001178.2 | -0.207114454771203 | 5.31629022197734e-05 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,153,KEAP1 | SIDT1-AS1 | -0.214313132746929 | 2.85132833036403e-05 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,154,KEAP1 | AC135050.5 | -0.210148517871497 | 4.09918485914848e-05 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,156,KEAP1 | AL353622.1 | -0.24728468445068 | 1.24611644950993e-06 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,158,KEAP1 | SNHG12 | -0.239981026230281 | 2.59443791807539e-06 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,160,KEAP1 | RHOA-IT1 | -0.293683819989706 | 6.77170959114599e-09 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,162,KEAP1 | AC079915.1 | -0.261705596356953 | 2.73486413905675e-07 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,163,KEAP1 | AL354892.3 | -0.238691029362223 | 2.94615412676805e-06 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,164,KEAP1 | AC008735.2 | -0.276574666776004 | 5.1942375405838803e-08 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,165,KEAP1 | AL035071.1 | -0.213704412591801 | 3.0080381871142e-05 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,168,KEAP1 | AC018690.1 | -0.251039925692244 | 8.47001139839404e-07 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,169,KEAP1 | AL596325.2 | -0.329120251242857 | 6.35840923564625e-11 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,173,KEAP1 | AL049838.1 | -0.261589910959051 | 2.76935494845439e-07 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,176,KEAP1 | AC004492.1 | -0.212251213449463 | 3.41575912779443e-05 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,180,KEAP1 | CR936218.1 | -0.240401407581648 | 2.4887638905935e-06 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,181,KEAP1 | AC009118.3 | -0.262233252359565 | 2.58271900820451e-07 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,182,KEAP1 | SKAP1-AS1 | -0.226024082627214 | 9.88610960055942e-06 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,185,KEAP1 | AC090589.3 | -0.234469510169061 | 4.44397483632471e-06 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,187,KEAP1 | AC008147.1 | -0.200883043301533 | 8.96211179663201e-05 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,188,KEAP1 | AP003170.4 | -0.272561847570251 | 8.21323573337465e-08 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,190,KEAP1 | AL157392.3 | -0.311374159109651 | 7.11581894293152e-10 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,191,KEAP1 | AC087620.1 | -0.256948409345959 | 4.55635380899373e-07 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,193,KEAP1 | AC007494.2 | -0.234802702379599 | 4.30330450796923e-06 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,196,KEAP1 | AL390728.6 | -0.335229205244084 | 2.66819235073275e-11 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,197,KEAP1 | AC016737.1 | -0.228654314535115 | 7.73181881842851e-06 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,198,KEAP1 | AC027796.1 | -0.220095584328451 | 1.70216787178102e-05 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,202,KEAP1 | MED14OS | 0.382934686394667 | 1.52208969597856e-14 | postive
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,205,KEAP1 | AC106037.2 | -0.205079919502771 | 6.31553923129057e-05 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,206,KEAP1 | AL359382.1 | -0.200313839645291 | 9.39263537704309e-05 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,207,KEAP1 | AC092301.1 | -0.249975877448548 | 9.45511292992269e-07 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,210,KEAP1 | LINC01547 | 0.239547343808465 | 2.70794393253269e-06 | postive
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,212,KEAP1 | AC048382.2 | -0.245401981600298 | 1.50874905876969e-06 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,213,KEAP1 | DIP2A-IT1 | -0.251181181480445 | 8.34688579343503e-07 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,215,KEAP1 | AC080013.3 | -0.290013917608926 | 1.060511770335e-08 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,219,KEAP1 | USP3-AS1 | -0.248756200429756 | 1.07194697279527e-06 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,222,KEAP1 | MCCC1-AS1 | -0.218750459833949 | 1.92157465817294e-05 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,223,KEAP1 | AL157838.1 | -0.212215808586756 | 3.42631657913052e-05 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,224,KEAP1 | AL450384.2 | -0.251155972715262 | 8.36873242367314e-07 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,226,KEAP1 | AC015871.3 | -0.229644355913574 | 7.04326782479907e-06 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,228,KEAP1 | PINK1-AS | 0.242765492197322 | 1.96700864982372e-06 | postive
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,229,KEAP1 | AC068491.3 | -0.218288921447671 | 2.00285250608474e-05 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,232,KEAP1 | AC073896.2 | -0.233427160921486 | 4.91293198212916e-06 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,233,KEAP1 | LINC01176 | -0.245742863091745 | 1.45756570590721e-06 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,235,KEAP1 | AC087392.1 | -0.252665389161237 | 7.15275481110631e-07 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,238,KEAP1 | MRTFA-AS1 | -0.300100254577168 | 3.04360027948743e-09 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,241,KEAP1 | AC025031.3 | -0.280589799988598 | 3.25983452187847e-08 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,242,KEAP1 | AC068790.3 | -0.214902859364269 | 2.70690422948602e-05 | negative
